Local,Categoria,P,Trocas,R,Disputa,Check-ins
The Art Institute Of Chicago,Art Museum,9,38.61,6,25.74,72,
7Eleven,Convenience Store,6,29.25,3,14.63,130,
Target,Big Box Store,6,28.09,3,14.05,107,
Starbucks,Coffee Shop,4,20.86,2,10.43,183,
Mcdonalds,Restaurant,4,18.26,1,4.56,95,
Fireside Bowl,Bowling Alley,4,17.82,3,13.36,85,
Park Community Church,Church,4,17.43,2,8.71,77,
Cvspharmacy,Pharmacy,4,17.16,3,12.87,72,
Chickfila,Restaurant,4,16.76,3,12.57,65,
Gallery Cabaret,Bar,4,14.76,2,7.38,39,
Bank Of America,Bank,4,14.22,2,7.11,34,
Chicago Comics,Comic Shop,3,13.6,2,9.07,92,
Fogo De Ch%C3%A3O,Restaurant,4,13.18,0,0.0,26,
Uic Forum,College Auditorium,3,12.83,2,8.55,71,
Taco Bell,Restaurant,4,11.78,2,5.89,18,
Mini Of Chicago,Automotive Shop,3,11.35,1,3.78,43,
Fletcher Jones Volkswagen,Auto Dealership,3,11.14,1,3.71,40,
Neiman Marcus,Department Store,3,10.75,1,3.58,35,
Fifth Third Bank Atm,Bank,3,10.58,2,7.05,33,
Stans Donuts Coffee,Donut Shop,3,10.49,1,3.5,32,
Katherine Anne Confections,Dessert Shop,3,10.49,2,6.99,32,
Northern Trust,Bank,2,10.03,1,5.02,150,
River East Center,Building,3,9.66,1,3.22,24,
West On North,Bar,3,9.41,1,3.14,22,
63Rd Street Beach,Beach,2,9.38,1,4.69,108,
Philip H Corboy Law Center,Law School,2,8.79,1,4.39,80,
Seven Ten Lanes,Bowling Alley,3,8.67,1,2.89,17,
Dorite Donuts Coffee,Donut Shop,2,8.5,0,0.0,69,
John Hancock Center,Building,2,8.32,1,4.16,63,
57Th Street Books,Bookstore,2,8.25,1,4.13,61,
Oak Street Beach,Beach,2,7.05,0,0.0,33,
Annettes Homemade Italian Ice,Dessert Shop,2,6.09,1,3.04,20,
12Th Street Beach,Beach,2,6.09,1,3.04,20,
Dunkin Donuts,Donut Shop,1,5.2,0,0.0,180,
Water Tower Place,Shopping Mall,2,5.13,0,0.0,12,
North Avenue Beach,Beach,2,5.13,0,0.0,12,
Chase Bank,Bank,1,4.85,0,0.0,127,
Big Littles Restaurant,Restaurant,2,4.39,0,0.0,8,
South Shore Cultural Center,Cultural Center,1,4.22,0,0.0,67,
Saint Clement Parish,Church,1,4.2,0,0.0,66,
Barnes Noble,Bookstore,1,4.08,0,0.0,58,
Firecakes Donuts,Donut Shop,1,3.99,0,0.0,53,
Tcf Bank,Bank,1,3.95,0,0.0,51,
Northwestern Memorial Hospital,Hospital,1,3.93,0,0.0,50,
The Dugout Sports Bar Grill,Bar,2,3.89,1,1.95,6,
White Glove Car Wash,Car Wash,1,3.83,0,0.0,45,
The Shops At Roosevelt Collection,Shopping Mall,1,3.71,0,0.0,40,
Gap,Clothing Store,1,3.71,0,0.0,40,
National Pride Car Wash,Car Wash,1,3.69,0,0.0,39,
Euro Collision,Automotive Shop,1,3.69,0,0.0,39,
Brooks Building,Building,1,3.66,0,0.0,38,
The Doughnut Vault,Donut Shop,1,3.64,0,0.0,37,
Dental Salon,Dentist's Office,1,3.58,0,0.0,35,
West Loop Athletic Club,Gym,1,3.56,0,0.0,34,
Old Navy,Clothing Store,1,3.3,0,0.0,26,
Lake Shore Drivescience Dr,Lake,1,3.18,0,0.0,23,
Strictly By Hand,Car Wash,1,3.09,0,0.0,21,
Block 37,Shopping Mall,1,3.09,0,0.0,21,
Jewelosco,Supermarket,1,3.0,0,0.0,19,
Churro Factory,Dessert Shop,1,2.94,0,0.0,18,
University Of Chicago Emergency Room,Emergency Room,1,2.71,0,0.0,14,
Hardpressed,Gym / Fitness Center,1,2.71,0,0.0,14,
Willis Tower,Building,1,2.64,0,0.0,13,
Southport Fitness,Gym,1,2.64,0,0.0,13,
Potash Markets Clark St,Grocery Store,1,2.64,0,0.0,13,
Intercontinental Chicago Magnificent Mile,Hotel,1,2.4,0,0.0,10,
Southgate Market,Shopping Mall,1,2.3,0,0.0,9,
Hyatt Regency Mccormick Place,Hotel,1,2.3,0,0.0,9,
Smart Bike Parts Inc,Bike Shop,1,2.2,0,0.0,8,
Galter Pavilion Northwestern Memorial Hospital,Hospital,1,2.2,0,0.0,8,
Bp,Gas Station,1,2.2,0,0.0,8,
Potash Bros Supermarket,Grocery Store,1,2.08,0,0.0,7,
Northwestern Prentice Womens Hospital,Hospital,1,2.08,0,0.0,7,
Aldi,Grocery Store,1,2.08,0,0.0,7,
Stanleys Fresh Fruits And Vegetables,Fruit & Vegetable Store,1,1.95,0,0.0,6,
Riverview Car Wash,Car Wash,1,1.95,0,0.0,6,
Fairfield Inn Suites Chicago Downtownriver North,Hotel,1,1.95,0,0.0,6,
Comer Childrens Hospital,Hospital,1,1.95,0,0.0,6,
Travelodge,Hotel,1,1.79,0,0.0,5,
Lake Michigan Steps,Lake,1,1.79,0,0.0,5,
Flowers For Dreams,Flower Shop,1,1.79,0,0.0,5,
The Field Museum,History Museum,1,1.61,0,0.0,4,
The Drucker Center,Gym,1,1.61,0,0.0,4,
Quimbys,Bookstore,1,1.61,0,0.0,4,
Jetro,Grocery Store,1,1.61,0,0.0,4,
Chicagos Lakefront Hyde Park,Lake,1,1.61,0,0.0,4,
Chicago Lakefront,Waterfront,1,1.61,0,0.0,4,
Chicago History Museum,History Museum,1,1.61,0,0.0,4,
Aayu Clinics Lakeview Immediate Care,Emergency Room,1,1.61,0,0.0,4,
The Shops At North Bridge,Shopping Mall,2,1.39,0,0.0,1,
Washington Park,Park,1,1.39,0,0.0,3,
Tiffany Co,Jewelry Store,1,1.39,0,0.0,3,
The Foundry,Shopping Mall,1,1.39,0,0.0,3,
The Fat Shallot,Food Truck,1,1.39,0,0.0,3,
