categorias,Media Check-ins,Fórmula Trocas,Fórmula Disputa,Count,Desvio Padrao, Elements
Big Box Store	107.0	6.0	3.0	1	nan	[107]
College Auditorium	71.0	3.0	2.0	1	nan	[71]
Art Museum	17.0	3.0	2.0	3	37.63	[17, 0, 72]
Convenience Store	65.0	3.0	1.5	2	91.92	[130, 0]
Bank	51.0	2.2	1.0	5	55.39	[34, 127, 33, 150, 51]
Bowling Alley	35.5	1.75	1.0	4	38.06	[54, 85, 17, 0]
Department Store	186.0	1.5	0.5	2	213.55	[337, 35]
Auto Dealership	36.0	1.5	0.5	2	5.66	[32, 40]
Building	38.0	1.4	0.4	5	62.56	[168, 38, 63, 24, 13]
Pharmacy	72.0	1.33	1.0	3	94.32	[0, 72, 187]
Coffee Shop	183.0	1.33	0.67	3	151.21	[300, 0, 183]
Donut Shop	53.5	1.33	0.17	6	55.09	[69, 180, 53, 54, 32, 37]
Restaurant	11.5	1.1	0.3	20	46.51	[18, 8, 0, 48, 147, 149, 36, 65, 2, 26, 14, 95, 4, 0, 3, 1, 18, 9, 2, 8]
Supermarket	19.0	1.0	0.0	1	nan	[19]
Fruit & Vegetable Store	6.0	1.0	0.0	1	nan	[6]
Waterfront	4.0	1.0	0.0	1	nan	[4]
Park	3.0	1.0	0.0	1	nan	[3]
Food & Drink Shop	2.0	1.0	0.0	1	nan	[2]
Noodle House	1.0	1.0	0.0	1	nan	[1]
Pier	0.0	1.0	0.0	1	nan	[0]
Shopping Mall	5.5	0.8	0.0	10	12.17	[5, 21, 6, 4, 0, 9, 3, 1, 40, 12]
Comic Shop	57.0	0.75	0.5	4	43.12	[99, 92, 22, 20]
Bar	19.0	0.75	0.33	12	71.77	[21, 0, 0, 39, 0, 17, 0, 63, 6, 21, 257, 22]
Beach	16.0	0.75	0.17	12	32.8	[20, 0, 108, 21, 12, 34, 33, 64, 0, 1, 0, 0]
Dessert Shop	18.0	0.67	0.33	9	14.4	[20, 36, 18, 0, 32, 0, 0, 0, 18]
Automotive Shop	20.0	0.67	0.17	6	129.49	[0, 39, 1, 330, 43, 0]
Lake	7.0	0.67	0.11	9	26.59	[7, 0, 76, 4, 7, 5, 23, 0, 50]
Frozen Yogurt Shop	2.0	0.6	0.0	5	0.89	[2, 0, 2, 2, 2]
Bookstore	43.0	0.57	0.14	7	33.39	[61, 58, 43, 13, 4, 4, 91]
Law School	11.0	0.5	0.25	4	37.21	[1, 2, 80, 20]
Car Wash	36.0	0.5	0.0	8	50.72	[33, 20, 39, 43, 6, 21, 168, 45]
Cultural Center	33.5	0.5	0.0	2	47.38	[0, 67]
Gym / Fitness Center	27.5	0.5	0.0	2	19.09	[14, 41]
Emergency Room	9.0	0.5	0.0	4	151.44	[4, 1, 309, 14]
History Museum	3.5	0.5	0.0	6	11.5	[4, 3, 0, 0, 4, 30]
Fire Station	1.5	0.5	0.0	2	2.12	[3, 0]
Candy Store	1.0	0.5	0.0	2	1.41	[0, 2]
Hospital	6.5	0.44	0.0	16	16.7	[39, 0, 6, 8, 0, 50, 7, 41, 3, 0, 28, 3, 2, 9, 19, 1]
Church	78.5	0.42	0.17	12	82.25	[84, 52, 4, 17, 180, 147, 77, 80, 66, 285, 52, 193]
Jewelry Store	3.0	0.4	0.0	5	7.09	[3, 18, 4, 3, 0]
Grocery Store	7.5	0.36	0.0	14	24.56	[7, 4, 8, 2, 3, 3, 12, 4, 7, 13, 16, 12, 30, 97]
Dentist's Office	18.0	0.33	0.0	3	9.81	[35, 18, 18]
Gym	18.0	0.31	0.0	13	18.86	[0, 6, 52, 4, 46, 3, 18, 22, 13, 41, 4, 34, 43]
Clothing Store	10.0	0.25	0.0	8	17.54	[0, 37, 0, 0, 40, 20, 0, 26]
Hotel	5.0	0.25	0.0	16	7.34	[0, 6, 2, 4, 3, 4, 5, 9, 10, 2, 15, 5, 4, 5, 31, 7]
Hostel	4.5	0.25	0.0	4	3.56	[2, 7, 0, 7]
Flower Shop	2.0	0.22	0.0	9	2.06	[0, 1, 6, 2, 0, 5, 2, 3, 2]
Bike Shop	0.0	0.17	0.0	6	8.54	[21, 0, 0, 0, 0, 8]
Ice Cream Shop	1.0	0.14	0.0	7	1.0	[2, 2, 0, 0, 2, 0, 1]
Gas Station	3.0	0.13	0.0	8	3.16	[2, 8, 4, 2, 0, 0, 4, 8]
