Local,Categoria,P,Trocas,R,Disputa,Check-ins
Parque Barigui,Park,21,147.31,20,140.3,1112,
Universidade Tecnológica Federal Do Paraná Utfpr,University,19,125.37,16,105.58,733,
Shopping Mueller,Shopping Mall,19,100.19,9,47.46,194,
20 Batalhão De Infantaria Blindado,Military Base,15,91.94,14,85.81,458,
Mcdonalds,Restaurant,14,82.71,10,59.08,367,
Museu Oscar Niemeyer Mon,Art Museum,15,82.27,8,43.88,240,
Parque General Iberê De Mattos Parque Bacacheri,Park,11,76.49,8,55.63,1046,
Shopping Palladium,Shopping Mall,14,72.62,6,31.12,178,
Park Shopping Barigui,Shopping Mall,13,68.35,4,21.03,191,
Walmart,Big Box Store,10,65.79,8,52.63,719,
Passeio Público,Park,9,63.52,8,56.46,1161,
Universidade Positivo Up,University,10,60.43,8,48.34,420,
Estação Tubo Praça EufráSio Correia,Bus Stop,8,59.08,7,51.69,1610,
Estádio Durival De Britto E Silva Vila Capanema,Soccer Stadium,11,58.17,7,37.02,197,
Hati Pastel,Food Truck,11,57.24,10,52.04,181,
Shopping Curitiba,Shopping Mall,11,57.18,5,25.99,180,
Mercado Ponto Quente,Market,10,56.94,8,45.55,296,
Santo Anjo Barigui,School,10,56.02,9,50.42,270,
Hospital Marcelino Champagnat,Hospital,9,53.81,6,35.87,394,
Parque Tingui,Park,10,53.42,7,37.4,208,
Hospital Sugisawa,Hospital,10,53.33,7,37.33,206,
Hospital Ipo,Hospital,10,51.87,6,31.12,178,
Quintal Do Guima,Bar,10,50.94,7,35.66,162,
Polícia Federal Dpfpr,Police Station,10,49.84,6,29.9,145,
Subway,Sandwich Place,8,49.6,7,43.4,492,
Shopping Novo Batel,Shopping Mall,9,48.54,6,32.36,219,
Anita Shopping,Shopping Plaza,9,47.91,7,37.26,204,
Posto Alto Da Xv Ipiranga,Gas Station,9,46.64,7,36.27,177,
SláInte Irish Pub,Irish Pub,8,44.64,6,33.48,264,
Pib Primeira Igreja Batista De Curitiba,Church,6,42.12,5,35.1,1118,
Unicuritiba Centro UniversitáRio Curitiba,University,6,41.58,5,34.65,1022,
Jokers,Pub,8,41.32,5,25.82,174,
Tânia Pães E Delícias,Coffee Shop,7,40.72,6,34.9,335,
Caixa Econômica Federal,Bank,7,39.64,6,33.98,287,
Estação Tubo Coronel Dulcídio,Bus Stop,7,39.42,6,33.79,278,
Mabu Curitiba Convention,Hotel,7,39.03,5,27.88,263,
Baggio Pizzeria Focacceria,Pizza Place,7,38.16,5,27.26,232,
Correios,Post Office,6,36.53,3,18.27,440,
Galeria Tijucas,Shopping Mall,7,34.28,5,24.49,133,
Callfarma,Pharmacy,7,33.51,4,19.15,119,
Museu Do ExpedicionáRio,History Museum,6,32.81,5,27.34,236,
Memorial De Curitiba,Cultural Center,5,31.69,4,25.35,565,
Clube Curitibano Sede Lucius Smyte,Gym,5,30.83,4,24.66,475,
Habibs,Restaurant,6,30.67,3,15.34,165,
Slaviero Suites Curitiba Batel,Hotel,6,29.3,4,19.53,131,
Pizza Hut,Pizza Place,6,28.47,3,14.23,114,
Feira Noturna Do Champagnat,Night Market,6,28.36,3,14.18,112,
Igreja Adventista Do Sétimo Dia Central De Curitiba,Church,5,28.16,4,22.52,278,
Burger King,Restaurant,6,27.92,4,18.62,104,
Farmácias E Drogarias Nissei,Pharmacy,5,27.53,2,11.01,245,
Amil Unidade Avançada áGua Verde,Doctors Office,5,27.47,2,10.99,242,
Pernambucanas,Department Store,6,27.32,3,13.66,94,
Confeitaria Das Famílias,Dessert Shop,6,27.32,3,13.66,94,
Extra Hiper,Big Box Store,6,27.26,3,13.63,93,
Miyo Culinária Japonesa,Restaurant,6,27.13,3,13.57,91,
Bosque Papa João Paulo Ii,Park,6,27.07,4,18.04,90,
Portão Cultural,Cultural Center,5,26.76,2,10.7,210,
Hopn Roll,Pub,5,26.69,3,16.01,207,
Restaurante Malindi,Restaurant,5,26.07,2,10.43,183,
Yage,Restaurant,5,25.82,3,15.49,174,
Saúdespa,Doctors Office,5,25.77,4,20.61,172,
Imax,Movie Theater,5,25.74,4,20.59,171,
Hospital Santa Casa De Misericórdia,Hospital,5,25.18,3,15.11,153,
Slm A Casa Do Confeiteiro,Candy Store,5,24.95,3,14.97,146,
La Rampa,Restaurant,5,24.45,2,9.78,132,
Peixaria Tatiana,Fish Market,4,24.36,3,18.27,440,
Praça Ouvidor Pardinho,Park,4,23.61,2,11.81,365,
Auto Posto Champagnat,Gas Station,5,23.5,3,14.1,109,
Academia Via Fitness,Gym,4,23.39,3,17.54,345,
Pestana Curitiba Hotel,Hotel,5,23.17,4,18.54,102,
Honjo,Pet Store,5,23.08,4,18.46,100,
Bing Churrascaria Grill,Restaurant,5,22.98,4,18.38,98,
Posto Colossal,Gas Station,4,22.52,3,16.89,278,
Caixa Cultural,Cultural Center,4,22.41,3,16.81,270,
Shopping Estação,Shopping Mall,4,22.15,3,16.61,253,
Casa Do Produtor,Pet Store,4,21.77,2,10.88,230,
Caramelodrama Confeitaria,Dessert Shop,5,21.59,2,8.63,74,
Arrumadinho Café Bar,Gastropub,5,21.45,3,12.87,72,
Super Wok,Asian Restaurant,4,21.39,1,5.35,209,
Feira Gastronômica Do Batel,Farmers Market,4,21.01,3,15.76,190,
Pop House Alimentos,Health Food Store,4,20.59,2,10.29,171,
Hsbc,Bank,4,20.33,2,10.16,160,
Condor,Supermarket,4,19.96,2,9.98,146,
Babilônia Gastronomia Cia,Gastropub,4,19.68,1,4.92,136,
Banoffi,Dessert Shop,4,19.44,3,14.58,128,
Galeria Suissa,Shopping Mall,4,19.28,2,9.64,123,
Itaú,Bank,4,18.98,2,9.49,114,
Hospital ônix,Hospital,4,18.77,1,4.69,108,
Batel Grill,Restaurant,4,18.73,2,9.36,107,
Instituto De Identificação Do Paraná,Police Station,4,18.62,2,9.31,104,
Mercabom,Convenience Store,4,18.46,3,13.85,100,
Cpo Centro Paranaense De Oftalmologia,Doctors Office,4,18.17,3,13.63,93,
Instituto De Direito Romeu Felipe Bacellar,Law School,3,18.06,2,12.04,410,
Rdi Radioclinica,Hospital,4,17.95,2,8.98,88,
Passeadores De Cães Pet Shop,Pet Store,3,17.27,2,11.51,315,
Hospital De Olhos Do Paraná,Eye Doctor,4,17.16,1,4.29,72,
Auto Posto Maestro Rede Pelanda,Gas Station,3,16.25,2,10.83,224,
Coeur Douce,Dessert Shop,3,16.18,2,10.79,219,
Danghai Club,Nightclub,3,16.08,1,5.36,212,
Kamisas Bar,Sports Bar,4,15.65,3,11.74,49,
Quintino Futsal,Soccer Field,3,15.28,2,10.19,162,
Oftalmoclínica Curitiba,Eye Doctor,4,15.14,3,11.35,43,
Cantinho Da Bica,Restaurant,3,14.6,2,9.74,129,
Upa Albert Sabin Unidade De Pronto Atendimento Fazendinha,Emergency Room,3,14.44,2,9.62,122,
Angeloni,Supermarket,3,14.44,1,4.81,122,
PáTio Batel,Shopping Mall,3,14.34,1,4.78,118,
Cartolas Sports Bar,Sports Bar,4,14.33,1,3.58,35,
Parque Sao Lourenço,Park,2,14.11,1,7.06,1158,
Cantinho Dos Sucos E Lanches,Sandwich Place,3,14.05,2,9.36,107,
Parque Municipal Do Passaúna,Park,3,13.87,2,9.25,101,
Realce Ortodontia E Clinica Geral,Dentists Office,3,13.82,2,9.21,99,
Royal Street Center,Shopping Plaza,3,13.6,2,9.07,92,
Curitiba Hostel,Hostel,3,13.6,2,9.07,92,
Business Club,Restaurant,3,13.57,2,9.04,91,
Sesc Paço Da Liberdade,Cultural Center,3,13.36,2,8.91,85,
Originale Cucina E Pizzeria,Pizza Place,3,13.36,1,4.45,85,
Droga Raia,Pharmacy,3,13.36,1,4.45,85,
Colégio Estadual Bom Pastor Cbp,University,3,13.22,2,8.81,81,
Dan Inn Hotel,Hotel,3,13.15,1,4.38,79,
Super Muffato,Supermarket,3,12.87,1,4.29,72,
Mercure Curitiba Batel,Hotel,3,12.66,2,8.44,67,
Mercearia Anos 30,Pizza Place,3,12.52,1,4.17,64,
Parque Dos Tropeiros,Park,2,11.63,1,5.82,335,
Confeitaria Moinho Holandês,Dessert Shop,3,11.28,2,7.52,42,
Tesoros De Cuba,Smoke Shop,2,11.23,0,0.0,273,
Bosque Alemão,Park,2,11.08,1,5.54,254,
Radisson Hotel Curitiba,Hotel,2,11.07,1,5.54,253,
Vox Bar,Nightclub,2,10.57,1,5.28,196,
Bar Canabenta,Bar,3,10.4,1,3.47,31,
Museu De Arte Contemporânea Do Paraná Mac,Art Museum,3,10.3,2,6.87,30,
Centro Do Ser Espaço Terapêutico,Spa,3,10.2,2,6.8,29,
Pronto Atendimento Hospital Sugisawa,Emergency Room,2,10.14,1,5.07,158,
Hospital Nossa Senhora Da Luz,Hospital,2,9.99,1,5.0,147,
Ca,Clothing Store,2,9.75,1,4.88,130,
Curitiba Backpackers Hostel,Hostel,2,9.72,1,4.86,128,
Palacete Dos Leões,Art Museum,3,9.66,1,3.22,24,
Bemestar Estética,Spa,2,9.64,1,4.82,123,
Iorc Centro,Dentists Office,2,9.62,1,4.81,122,
Hertz,Automotive Shop,2,9.49,1,4.74,114,
Goodies Bakery,Dessert Shop,2,9.44,1,4.72,111,
Livrarias Curitiba,Bookstore,2,9.17,1,4.58,97,
Vivo,Mobile Phone Shop,2,9.04,1,4.52,91,
O Espanhol,Bar,2,8.95,0,0.0,87,
De Luca Pizzaria,Pizza Place,2,8.84,1,4.42,82,
Ppbar,Bar,2,8.76,1,4.38,79,
Ks Espetinhos,Food Truck,2,8.55,0,0.0,71,
Ancoradouro,Restaurant,2,8.5,1,4.25,69,
Costelão Curitibano 24H,Restaurant,2,8.12,1,4.06,57,
3 Distrito Policia Civil,Police Station,2,8.12,1,4.06,57,
Delemigpf Delegacia De Estrangeiros E Imigração,Police Station,2,8.05,1,4.03,55,
Auto Posto Jardim Ambiental,Gas Station,2,7.98,1,3.99,53,
Empório Kaveh Kanes,Market,2,7.57,1,3.78,43,
Cabral Motor Serviços,Automotive Shop,2,7.38,1,3.69,39,
Kikos Bar,Sports Bar,2,7.28,1,3.64,37,
Madero Sports Bar,Sports Bar,2,7.22,0,0.0,36,
Bourbon Curitiba Convention Hotel,Hotel,1,6.75,0,0.0,852,
Hospital Da Cruz Vermelha,Hospital,1,6.55,0,0.0,695,
King Temaki,Restaurant,2,6.52,0,0.0,25,
Festval,Supermarket,1,6.32,0,0.0,557,
Hospital Sao Lucas,Hospital,1,5.95,0,0.0,384,
Colégio Passionista N Sa Menina,High School,1,5.94,0,0.0,379,
Parque Tanguá,Park,1,5.74,0,0.0,310,
Shopping Crystal,Shopping Mall,1,5.66,0,0.0,287,
Shopping Omar,Shopping Mall,1,5.65,0,0.0,284,
Exclusivamed,Doctors Office,1,5.25,0,0.0,190,
Pasteur Grill,Restaurant,1,5.08,0,0.0,159,
Harbor Self Saint Emilion,Hotel,1,5.07,0,0.0,158,
Ponto Frio 139,Department Store,1,4.94,0,0.0,139,
Museu Paranaense,History Museum,1,4.91,0,0.0,134,
Pão De Açúcar,Supermarket,1,4.88,0,0.0,130,
Casa Roxa,Nightclub,1,4.85,0,0.0,127,
Auto Posto Analipe Ipiranga,Gas Station,1,4.85,0,0.0,127,
Capital Shopping Centro,Shopping Mall,1,4.78,0,0.0,118,
Curitiba Casa Hostel,Hostel,1,4.62,0,0.0,100,
Paraná Clínicas Unidade Cic,Emergency Room,1,4.6,0,0.0,98,
Pronner Confeitaria,Dessert Shop,1,4.57,0,0.0,96,
Celeiro Micah,Grocery Store,1,4.54,0,0.0,93,
Panificadora Gislaine,Coffee Shop,1,4.5,0,0.0,89,
Upa 24H Unidade De Pronto Atendimento Boa Vista,Emergency Room,1,4.47,0,0.0,86,
Auto Posto Triângulo,Gas Station,1,4.43,0,0.0,83,
CemitéRio Municipal áGua Verde,Cemetery,1,4.41,0,0.0,81,
Sushiaki,Sushi Restaurant,2,4.39,1,2.2,8,
Chilflor Floricultura,Flower Shop,1,4.39,0,0.0,80,
Sabore Pizzaria,Pizza Place,1,4.29,0,0.0,72,
Shopping Cidade,Shopping Mall,1,4.26,0,0.0,70,
Alô Esquenta,Convenience Store,1,4.25,0,0.0,69,
CemitéRio Municipal Sao Francisco De Paula,Cemetery,1,4.23,0,0.0,68,
Nurce Núcleo De Repreensão A Crimes Econômicos,Police Station,1,4.22,0,0.0,67,
Mercado Municipal De Curitiba,Market,1,4.22,0,0.0,67,
Master Pizza,Pizza Place,1,4.22,0,0.0,67,
Memphis House Restaurante E Pizzaria,Restaurant,1,4.19,0,0.0,65,
Supermercados Tissi,Supermarket,1,4.17,0,0.0,64,
Café Com Bolachas,Coffee Shop,1,4.09,0,0.0,59,
Sociedade Esportiva Renovicente,Soccer Field,1,4.06,0,0.0,57,
Sams Club,Warehouse Store,1,4.06,0,0.0,57,
Kan,Restaurant,1,4.06,0,0.0,57,
Motter Home Curitiba Hostel,Hostel,1,3.93,0,0.0,50,
Babilônia Gastronomia,Restaurant,1,3.93,0,0.0,50,
Cindacta Ii,Military Base,1,3.87,0,0.0,47,
Ibiza Laboratório FotográFico Digital,Electronics Store,1,3.85,0,0.0,46,
Pro Campo Campo Jardim,Flower Shop,1,3.81,0,0.0,44,
Centro Esportivo Ipiranga,Soccer Stadium,1,3.81,0,0.0,44,
Ribamar Sports,Soccer Field,1,3.78,0,0.0,43,
Granotto Sorvetes,Ice Cream Shop,1,3.71,0,0.0,40,
Motel Celebrity,Motel,1,3.18,0,0.0,23,
Quiosque Do Açaí,Acai House,1,3.04,0,0.0,20,
Galeria Minerva,Shopping Mall,1,2.4,0,0.0,10,
Clínica Adalgisa,Spa,1,2.2,0,0.0,8,
Faculdade De Odontologia Universidade Positivo Foup,Dentists Office,1,2.08,0,0.0,7,
Parque Do Golinha,Arcade,1,1.61,0,0.0,4,
Challela Supermercado,Supermarket,1,1.1,0,0.0,2,
Yogoberry Original,Frozen Yogurt Shop,0,0.0,0,0.0,355,
Yankee Bar,Nightclub,0,0.0,0,0.0,204,
Woods,Nightclub,0,0.0,0,0.0,21,
Wnk Bar,Nightclub,0,0.0,0,0.0,134,
Wizard Batel,Language School,0,0.0,0,0.0,0,
Vivo Bacacheri Global Center,Mobile Phone Shop,0,0.0,0,0.0,136,
Villa Serenna Spa Estética,Spa,0,0.0,0,0.0,24,
Villa Pilates,Gym,0,0.0,0,0.0,122,
