Local,Categoria,P,Trocas,R,Disputa,Check-ins
Bh Lanches,Bar,13,76.41,11,64.66,356,
Ibotirama,Bar,10,49.2,7,34.44,136,
Mercearia São Pedro,Bar,7,37.72,6,32.33,218,
Mosteiro De São Bento,Church,8,36.17,6,27.13,91,
Veloso Bar,Bar,6,28.97,3,14.48,124,
Bar Brahma,Bar,5,27.34,2,10.94,236,
Tozé Lanchonete Bar DalôCa,Bar,6,27.13,4,18.09,91,
Bar Mooca,Bar,5,26.83,4,21.46,213,
Pirajá,Bar,5,25.96,3,15.58,179,
Aeroporto Campo De Marte Mae,Airport,4,25.61,3,19.21,602,
Violeta Bar Restaurante,Bar,5,25.56,3,15.34,165,
Bar CalçAda Da Lapa,Bar,5,25.15,3,15.09,152,
Sp Diversões,General Entertainment,5,24.06,2,9.62,122,
Bar LéO,Bar,5,23.36,2,9.35,106,
Salve Jorge,Bar,5,23.22,3,13.93,103,
Santa Fé Cervejaria,Bar,5,22.5,3,13.5,89,
Renascer Hall,Church,4,21.17,3,15.88,198,
Senzala Bar Grill,Bar,4,16.1,3,12.08,55,
ArmazéN Paulista,Bar,3,14.56,2,9.7,127,
Bar Do Ghassan,Bar,3,14.23,2,9.49,114,
Rei Das Batidas,Bar,3,13.82,1,4.61,99,
Catedral Da Sé,Church,3,13.63,1,4.54,93,
Paribar,Bar,3,13.6,1,4.53,92,
Deck Lounge Bar,Bar,3,12.79,2,8.53,70,
Bar São Benedito,Bar,3,12.57,1,4.19,65,
ó Do Borogodó,Bar,3,12.52,1,4.17,64,
Soda Pop Bar,Bar,3,12.28,2,8.19,59,
Igreja Metodista Em Campo Belo,Church,2,11.63,1,5.81,334,
Boteco Prato Do Dia,Bar,3,11.42,1,3.81,44,
Universidade Anhembi Morumbi,University,3,11.21,0,0.0,41,
Retiro Do Chopp,Bar,3,11.07,2,7.38,39,
Rainha Do Morumbi,Bar,2,9.99,1,5.0,147,
Loirão Bar,Bar,2,8.61,1,4.3,73,
Futebol Pizza Bar,Bar,2,8.44,1,4.22,67,
Ebusiness Park,Business Center,2,8.01,1,4.01,54,
Igreja Nossa Senhora De Monte Serrat,Church,2,7.57,1,3.78,43,
Coffee Lab,Coffee Shop,2,6.36,1,3.18,23,
Prainha Paulista,Bar,1,5.89,0,0.0,360,
Galeria Trianon,Shopping Mall,1,5.72,0,0.0,303,
Starbucks,Coffee Shop,1,5.68,0,0.0,291,
Shopping Center 3,Shopping Mall,2,5.42,0,0.0,14,
Shopping Metrô Boulevard Tatuapé,Shopping Mall,2,4.97,0,0.0,11,
Bebo Sim,Bar,1,4.37,0,0.0,78,
Boteco Todos Os Santos,Bar,1,4.03,0,0.0,55,
Mr Cult,Bar,1,4.01,0,0.0,54,
Shopping Pátio Higienópolis,Shopping Mall,1,3.78,0,0.0,43,
Shopping Center Norte,Shopping Mall,1,3.37,0,0.0,28,
Ilha Das Flores,Bar,1,3.14,0,0.0,22,
Galeria Metrópole,Building,1,3.0,0,0.0,19,
Padoca Dos Brother,Bar,1,2.71,0,0.0,14,
Igreja Santo Antonio Do Pari,Church,1,2.71,0,0.0,14,
Shopping Eldorado,Shopping Mall,1,2.64,0,0.0,13,
Edifício Copan,Residential Building (Apartment / Condo),1,2.56,0,0.0,12,
Top Center Shopping,Shopping Mall,1,2.4,0,0.0,10,
Sofá Café,Coffee Shop,1,2.4,0,0.0,10,
Aroma Café Bistrô,Coffee Shop,1,2.08,0,0.0,7,
Cinearte,Indie Movie Theater,1,0.69,0,0.0,1,
Z Carniceria,Bar,0,0.0,0,0.0,2,
Youpix Office,Zoo,0,0.0,0,0.0,2,
Xploud Academia,Gym,0,0.0,0,0.0,1,
Você Vai Se Quiser Samba Da PraçA Roosevelt,Bar,0,0.0,0,0.0,48,
Villagio Olimpia,Restaurant,0,0.0,0,0.0,6,
Villa Caetanos,Bar,0,0.0,0,0.0,305,
Vanvan Bar,Bar,0,0.0,0,0.0,0,
Valadares,Bar,0,0.0,0,0.0,51,
Universidade São Judas Tadeu Usjt Unidade Butantã,University,0,0.0,0,0.0,15,
Universidade Presbiteriana Mackenzie,University,0,0.0,0,0.0,55,
Universal Studies Planet Holiday,School,0,0.0,0,0.0,6,
Tryp São Paulo Iguatemi Hotel,Hotel,0,0.0,0,0.0,1,
Triathon Academia,Gym,0,0.0,0,0.0,20,
Torre De Controle,Office,0,0.0,0,0.0,56,
Thisishome,Home (private),0,0.0,0,0.0,2,
The Universe,Hotel,0,0.0,0,0.0,5,
The 70 Years Bar,Bar,0,0.0,0,0.0,220,
TerraçO Major,Bar,0,0.0,0,0.0,56,
